25.0011679593,25.0000000006,25.0,25.0,25.0
654.847253355,244.865065454,102.093939446,51.0734570536,36.5530280692
891.562701422,502.335685949,291.467379393,167.424188538,112.461279369
998.382419822,669.136763493,458.427894437,305.96364059,223.008062915
1056.86605426,777.878312903,583.430634793,426.940097183,330.840928003
1093.20893978,853.032858434,676.541090186,525.467412887,424.93548778
1117.80482299,907.716025883,747.534379498,604.996649615,504.544015809
1135.49556852,949.155075535,803.101761834,669.720535462,571.581641903
1148.81063299,981.581697036,847.638642293,723.074888275,628.293533007
1159.18920447,1007.61740266,884.070573374,767.649606271,676.646926808
1167.50612767,1028.96562294,914.394999607,805.362456308,718.233229658
