25.0011679593,25.0000000006,25.0,25.0,24.9999941992
564.033809216,263.809223699,130.814886082,71.8860622321,53.7922602473
772.09885636,483.693302159,306.677204832,197.975112001,156.61878009
882.443335099,629.123442171,450.749296595,325.045056228,273.078683186
950.833990581,729.25680603,560.86906644,432.748721284,377.386491946
997.385970496,801.771924854,645.72400675,521.034787366,465.65138737
1031.12691122,856.523136622,712.48846817,593.417712842,539.527252465
1056.71106321,899.256567972,766.152287771,653.332981584,601.571100438
1076.78153251,933.508412636,810.122257838,703.519622048,654.101456262
1092.95067073,961.562093936,846.756402243,746.05682216,698.994761523
1106.25790867,984.953595862,877.722271565,782.509469357,737.719868326
